start,ID,commend,data_length,data1,data2,data3,data4,data5,data6,end,image,sector
0x19,0x4D,0x02,0x06,0x00,,,,,,2f,speed_tt.png,12
0x19,0x4D,0x02,0x06,0x01,,,,,,2f,speed_tt.png,12
0x19,0x4D,0x02,0x06,0x02,,,,,,2f,signal_tt.png,12
0x19,0x4D,0x02,0x06,0x03,,,,,,2f,signal_tt.png,12
0x19,0x4D,0x02,0x06,0x04,,,,,,2f,children.png,12
0x19,0x4D,0x02,0x06,0x07,,,,,,2f,children.png,12
0x19,0x4D,0x02,0x06,0x08,,,,,,2f,ban.png,12
0x19,0x4D,0x02,0x06,0x09,,,,,,2f,ban.png,12
0x19,0x4D,0x02,0x06,0x0B,,,,,,2f,signal_tt.png,12
0x19,0x4D,0x02,0x06,0x10,,,,,,2f,exclusive_bus.png,12
0x19,0x4D,0x02,0x06,0x11,,,,,,2f,speed_tt.png,12
0x19,0x4D,0x02,0x06,0x20,,,,,,2f,section_tt.png,12
0x19,0x4D,0x02,0x06,0x21,,,,,,2f,section_tt.png,12
0x19,0x4D,0x02,0x06,0x40,,,,,,2f,signal_tt.png,12
0x19,0x4D,0x02,0x06,0x80,,,,,,2f,Group_4.png,12
